A	T_merge	T_heap
[21, 6, 3, 20, 26, 5, 4, 12, 0, 9, 14, 25, 27, 11, 18]	1.9999999998354667e-06	0.0
[4, 1, 7, 0, 19, 9, 12, 18, 26, 22, 3, 28, 15, 24, 27]	9.999999999177334e-07	9.999999999177334e-07
[21, 4, 24, 19, 16, 0, 6, 15, 8, 20, 13, 7, 18, 28, 5]	1.000000000139778e-06	0.0
[12, 21, 22, 9, 8, 15, 19, 0, 2, 28, 18, 24, 17, 3, 13]	9.999999999177334e-07	0.0
[11, 8, 1, 20, 7, 6, 14, 17, 21, 24, 9, 22, 0, 28, 15]	9.999999999177334e-07	9.999999999177334e-07
[3, 4, 23, 7, 20, 29, 22, 0, 18, 10, 1, 8, 16, 13, 25]	9.999999999177334e-07	0.0
[5, 19, 2, 20, 26, 7, 9, 8, 13, 16, 21, 6, 22, 17, 11]	2.0000000000575113e-06	0.0
[28, 22, 25, 27, 29, 3, 0, 5, 19, 1, 20, 10, 15, 9, 11]	0.0	9.999999999177334e-07
[25, 18, 16, 24, 17, 27, 20, 22, 9, 15, 11, 19, 5, 8, 4]	9.999999999177334e-07	0.0
[2, 1, 19, 8, 23, 20, 7, 22, 9, 18, 17, 0, 16, 11, 12]	0.0	0.0
[4, 16, 25, 26, 5, 20, 3, 17, 24, 10, 9, 19, 12, 7, 18]	9.999999999177334e-07	1.000000000139778e-06
[4, 7, 2, 11, 28, 1, 19, 22, 0, 12, 6, 16, 26, 21, 20]	9.999999999177334e-07	0.0
[13, 9, 24, 21, 12, 23, 7, 16, 20, 8, 27, 14, 22, 5, 11]	9.999999999177334e-07	9.999999999177334e-07
[25, 10, 15, 4, 6, 20, 16, 23, 9, 11, 26, 27, 2, 13, 3]	9.999999999177334e-07	0.0
[15, 1, 24, 17, 23, 6, 8, 26, 12, 22, 0, 18, 13, 25, 21]	1.000000000139778e-06	1.000000000139778e-06
[5, 2, 0, 27, 11, 13, 15, 7, 26, 25, 21, 8, 3, 12, 22]	0.0	9.999999999177334e-07
[24, 16, 10, 23, 8, 25, 15, 21, 0, 9, 18, 14, 3, 4, 12]	9.999999999177334e-07	0.0
[15, 8, 24, 18, 23, 22, 12, 3, 25, 11, 1, 28, 0, 13, 16]	9.999999999177334e-07	9.999999999177334e-07
[23, 16, 6, 20, 27, 15, 5, 8, 21, 9, 2, 18, 12, 10, 11]	9.999999999177334e-07	0.0
[11, 6, 17, 26, 1, 13, 9, 14, 28, 5, 27, 8, 2, 29, 23]	9.999999999177334e-07	2.0000000000575113e-06
[25, 20, 27, 21, 0, 13, 10, 28, 6, 16, 4, 26, 9, 8, 2]	0.0	9.999999999177334e-07
[25, 27, 26, 17, 22, 3, 10, 29, 0, 1, 7, 23, 9, 6, 12]	1.000000000139778e-06	1.000000000139778e-06
[10, 18, 11, 8, 13, 2, 27, 9, 28, 25, 6, 0, 20, 29, 1]	0.0	9.999999999177334e-07
[21, 14, 16, 26, 11, 10, 0, 2, 28, 7, 1, 27, 20, 17, 13]	0.0	9.999999999177334e-07
[20, 0, 26, 4, 27, 10, 12, 6, 2, 24, 17, 21, 18, 23, 5]	9.999999999177334e-07	1.000000000139778e-06
[18, 12, 20, 16, 25, 4, 27, 14, 5, 1, 21, 29, 17, 11, 15]	2.0000000000575113e-06	1.000000000139778e-06
[5, 15, 12, 27, 23, 16, 9, 14, 4, 8, 1, 20, 13, 3, 22]	0.0	9.999999999177334e-07
[21, 18, 3, 28, 20, 19, 23, 5, 17, 11, 13, 4, 25, 24, 27]	1.000000000139778e-06	9.999999999177334e-07
[28, 26, 7, 14, 0, 16, 17, 23, 27, 25, 22, 29, 24, 12, 9]	9.999999999177334e-07	9.999999999177334e-07
[0, 12, 6, 29, 18, 13, 10, 15, 21, 28, 24, 16, 7, 5, 1]	0.0	0.0
[1, 24, 7, 22, 2, 0, 16, 4, 17, 19, 20, 26, 29, 28, 11]	2.0000000000575113e-06	0.0
[25, 6, 12, 18, 11, 4, 5, 8, 7, 20, 1, 27, 16, 2, 22]	9.999999999177334e-07	0.0
[14, 2, 29, 10, 26, 18, 12, 21, 3, 28, 23, 1, 5, 6, 8]	9.999999999177334e-07	0.0
[6, 12, 5, 28, 16, 25, 3, 20, 15, 8, 14, 2, 10, 7, 17]	9.999999999177334e-07	2.0000000000575113e-06
[23, 21, 6, 15, 26, 29, 2, 3, 17, 16, 13, 11, 10, 5, 0]	1.000000000139778e-06	9.999999999177334e-07
[25, 11, 2, 10, 29, 0, 13, 21, 16, 28, 6, 17, 1, 24, 15]	9.999999999177334e-07	0.0
[26, 18, 20, 0, 16, 23, 8, 25, 29, 2, 15, 14, 27, 7, 9]	9.999999999177334e-07	9.999999999177334e-07
[15, 28, 16, 7, 24, 23, 5, 26, 13, 4, 9, 3, 8, 29, 14]	1.000000000139778e-06	1.000000000139778e-06
[28, 24, 17, 14, 29, 6, 0, 5, 2, 7, 3, 20, 11, 23, 22]	2.0000000000575113e-06	0.0
[1, 8, 22, 20, 21, 19, 2, 26, 28, 6, 24, 7, 12, 3, 14]	1.8999999999991246e-05	0.0
[21, 10, 2, 23, 25, 0, 26, 8, 7, 3, 6, 24, 11, 14, 22]	9.999999999177334e-07	2.0000000000575113e-06
[10, 22, 20, 3, 12, 24, 28, 7, 29, 0, 5, 1, 26, 4, 25]	0.0	1.000000000139778e-06
[21, 29, 0, 7, 25, 16, 24, 6, 17, 11, 12, 8, 27, 19, 28]	2.0000000000575113e-06	9.999999999177334e-07
[2, 23, 29, 5, 17, 18, 22, 7, 21, 11, 24, 13, 6, 20, 26]	9.999999999177334e-07	9.999999999177334e-07
[20, 4, 22, 23, 19, 21, 8, 10, 26, 7, 5, 27, 25, 16, 28]	9.999999999177334e-07	9.999999999177334e-07
[12, 4, 17, 8, 22, 25, 18, 9, 28, 15, 0, 27, 3, 11, 16]	0.0	9.999999999177334e-07
[3, 0, 14, 26, 12, 5, 7, 16, 13, 17, 21, 22, 1, 27, 28]	1.000000000139778e-06	1.000000000139778e-06
[18, 14, 25, 28, 17, 15, 0, 21, 23, 29, 9, 22, 24, 19, 4]	9.999999999177334e-07	9.999999999177334e-07
[5, 29, 16, 19, 3, 24, 22, 15, 21, 4, 2, 18, 26, 9, 23]	2.0000000000575113e-06	1.000000000139778e-06
[6, 7, 20, 18, 22, 29, 19, 12, 5, 24, 26, 13, 9, 0, 3]	9.999999999177334e-07	0.0
[1, 26, 12, 28, 29, 9, 4, 17, 25, 23, 18, 2, 5, 22, 11]	0.0	9.999999999177334e-07
[10, 6, 4, 8, 24, 25, 13, 26, 22, 11, 29, 28, 27, 17, 18]	9.999999999177334e-07	9.999999999177334e-07
[29, 8, 7, 12, 17, 21, 1, 14, 15, 22, 3, 11, 24, 5, 0]	0.0	9.999999999177334e-07
[2, 13, 5, 14, 3, 0, 7, 8, 26, 29, 17, 18, 24, 10, 4]	9.999999999177334e-07	0.0
[0, 13, 22, 4, 11, 19, 23, 14, 21, 1, 20, 17, 3, 26, 25]	9.999999999177334e-07	9.999999999177334e-07
[14, 15, 23, 22, 12, 3, 1, 10, 29, 5, 8, 0, 25, 18, 9]	2.0000000000575113e-06	1.000000000139778e-06
[13, 24, 7, 18, 20, 26, 27, 11, 3, 17, 10, 16, 23, 14, 0]	0.0	0.0
[7, 13, 6, 26, 18, 11, 21, 19, 14, 2, 12, 28, 3, 5, 8]	0.0	2.0000000000575113e-06
[10, 27, 1, 16, 5, 24, 29, 3, 0, 9, 18, 14, 13, 20, 7]	0.0	1.000000000139778e-06
[15, 28, 0, 16, 7, 23, 18, 2, 4, 13, 9, 29, 8, 1, 22]	9.999999999177334e-07	9.999999999177334e-07
[5, 12, 16, 3, 28, 13, 23, 25, 18, 8, 4, 10, 2, 11, 26]	1.9999999998354667e-06	9.999999999177334e-07
[19, 17, 18, 10, 14, 16, 21, 5, 27, 7, 1, 6, 0, 22, 24]	2.0000000000575113e-06	0.0
[24, 9, 26, 4, 23, 10, 21, 8, 14, 19, 27, 6, 25, 22, 11]	9.999999999177334e-07	0.0
[29, 28, 8, 12, 13, 15, 1, 20, 22, 17, 9, 2, 6, 0, 24]	9.999999999177334e-07	9.999999999177334e-07
[19, 4, 0, 9, 16, 18, 28, 21, 20, 17, 7, 3, 1, 24, 2]	9.999999999177334e-07	1.9999999998354667e-06
[1, 14, 5, 23, 28, 16, 2, 17, 15, 12, 8, 9, 19, 24, 25]	1.000000000139778e-06	9.999999999177334e-07
[13, 9, 20, 2, 16, 29, 24, 14, 6, 21, 22, 18, 3, 26, 5]	0.0	9.999999999177334e-07
[12, 14, 0, 20, 15, 29, 27, 23, 6, 24, 3, 19, 16, 17, 4]	2.0000000000575113e-06	1.000000000139778e-06
[14, 4, 27, 11, 6, 7, 13, 5, 15, 2, 0, 22, 18, 29, 3]	2.0000000000575113e-06	0.0
[15, 7, 3, 13, 6, 2, 10, 22, 1, 29, 26, 18, 17, 20, 27]	9.999999999177334e-07	0.0
[9, 12, 24, 1, 27, 3, 17, 7, 26, 14, 4, 23, 11, 20, 13]	1.000000000139778e-06	0.0
[19, 9, 0, 12, 7, 1, 4, 18, 2, 10, 5, 14, 6, 11, 16]	9.999999999177334e-07	2.0000000000575113e-06
