A	T_merge	T_heap
[26, 0, 6, 22, 8, 18, 2, 13, 21, 15, 25, 4, 24, 14, 11]	1.6000000000016e-05	1.399999999995849e-05
[18, 20, 5, 28, 3, 24, 8, 4, 14, 12, 25, 1, 17, 7, 27]	1.700000000015578e-05	1.8999999999991246e-05
[5, 29, 4, 15, 28, 23, 27, 22, 17, 10, 26, 3, 8, 13, 18]	1.3000000000040757e-05	1.4999999999876223e-05
[24, 11, 17, 19, 18, 20, 0, 25, 12, 6, 5, 15, 22, 9, 10]	1.1999999999900979e-05	1.399999999995849e-05
[12, 13, 11, 23, 2, 15, 27, 7, 17, 8, 25, 9, 4, 24, 14]	2.2000000000188535e-05	1.4999999999876223e-05
[3, 20, 15, 0, 16, 6, 21, 18, 26, 14, 24, 4, 9, 28, 1]	8.999999999925734e-06	2.0000000000131024e-05
[3, 17, 25, 12, 5, 7, 29, 24, 15, 19, 28, 9, 13, 0, 14]	2.0000000000131024e-05	1.7999999999851468e-05
[27, 19, 5, 8, 0, 15, 20, 26, 11, 23, 21, 10, 17, 12, 7]	2.4999999999941735e-05	1.0999999999983245e-05
[12, 10, 22, 13, 16, 5, 3, 29, 4, 21, 6, 7, 27, 19, 0]	1.0000000000065512e-05	1.4999999999876223e-05
[15, 9, 18, 24, 29, 21, 11, 0, 7, 8, 4, 17, 13, 3, 23]	2.199999999996649e-05	1.0000000000065512e-05
[13, 26, 22, 7, 28, 24, 4, 12, 17, 6, 0, 10, 3, 19, 29]	1.700000000015578e-05	1.999999999990898e-05
[25, 26, 29, 16, 2, 24, 12, 10, 14, 22, 20, 21, 8, 0, 23]	1.5000000000098268e-05	7.000000000090267e-06
[25, 15, 3, 1, 7, 12, 5, 19, 17, 16, 24, 13, 22, 4, 0]	1.4000000000180535e-05	1.8000000000073513e-05
[14, 20, 23, 6, 27, 28, 15, 5, 1, 3, 29, 0, 25, 22, 11]	1.2999999999818712e-05	1.399999999995849e-05
[26, 23, 8, 12, 1, 10, 7, 3, 2, 21, 29, 20, 18, 24, 27]	1.0000000000065512e-05	1.1999999999900979e-05
[23, 25, 6, 13, 26, 7, 16, 10, 20, 8, 0, 17, 11, 24, 4]	1.1999999999900979e-05	1.6000000000016e-05
[20, 26, 28, 29, 21, 11, 12, 13, 3, 27, 25, 6, 23, 17, 9]	1.399999999995849e-05	8.000000000008e-06
[23, 24, 29, 3, 13, 5, 27, 10, 1, 26, 19, 25, 21, 14, 8]	8.999999999925734e-06	1.8999999999991246e-05
[8, 22, 24, 2, 14, 20, 23, 7, 21, 16, 4, 3, 29, 19, 12]	1.1999999999900979e-05	1.0000000000065512e-05
[12, 17, 5, 21, 23, 1, 9, 10, 7, 24, 6, 3, 19, 14, 20]	3.2000000000032e-05	3.2999999999949736e-05
[21, 2, 14, 11, 18, 26, 27, 8, 6, 7, 3, 16, 5, 4, 10]	2.3999999999801958e-05	1.0999999999983245e-05
[10, 15, 2, 7, 3, 8, 5, 23, 16, 20, 9, 26, 11, 18, 6]	8.999999999925734e-06	9.000000000147779e-06
[1, 27, 29, 24, 20, 11, 13, 2, 9, 23, 15, 4, 0, 22, 8]	1.5000000000098268e-05	1.2000000000123023e-05
[28, 16, 11, 8, 14, 12, 0, 2, 26, 10, 15, 1, 25, 24, 19]	1.8000000000073513e-05	3.399999999986747e-05
[18, 27, 6, 21, 15, 13, 5, 8, 19, 4, 12, 7, 25, 22, 0]	1.8000000000073513e-05	8.000000000008e-06
[17, 11, 22, 13, 7, 5, 25, 23, 28, 16, 29, 3, 14, 20, 2]	9.000000000147779e-06	1.8999999999991246e-05
[18, 2, 17, 4, 7, 5, 10, 28, 23, 0, 16, 3, 29, 6, 26]	1.0999999999983245e-05	9.000000000147779e-06
[18, 11, 15, 20, 13, 22, 17, 7, 16, 9, 21, 1, 2, 8, 23]	1.399999999995849e-05	2.6000000000081513e-05
[15, 22, 27, 8, 9, 12, 3, 14, 20, 21, 1, 28, 6, 13, 23]	2.4000000000024002e-05	1.2000000000123023e-05
[22, 2, 8, 12, 27, 25, 19, 17, 29, 18, 7, 0, 16, 13, 5]	1.3000000000040757e-05	8.000000000008e-06
[23, 29, 14, 13, 2, 25, 26, 6, 17, 4, 20, 1, 10, 3, 27]	1.8000000000073513e-05	1.6999999999933735e-05
[9, 4, 19, 17, 2, 15, 14, 22, 21, 12, 13, 23, 5, 6, 25]	8.999999999925734e-06	1.0999999999983245e-05
[14, 4, 16, 22, 10, 29, 28, 2, 24, 20, 9, 26, 8, 3, 5]	1.5000000000098268e-05	6.999999999868223e-06
[7, 10, 5, 4, 24, 23, 2, 28, 0, 16, 25, 3, 21, 26, 27]	1.2000000000123023e-05	2.0999999999826713e-05
[21, 0, 10, 12, 28, 26, 2, 22, 9, 16, 19, 18, 20, 15, 6]	8.999999999925734e-06	1.0999999999983245e-05
[11, 15, 16, 18, 3, 25, 29, 0, 2, 8, 20, 22, 14, 9, 12]	1.0999999999983245e-05	1.0000000000065512e-05
[19, 29, 0, 7, 21, 20, 11, 25, 5, 23, 2, 24, 4, 17, 14]	1.399999999995849e-05	2.199999999996649e-05
[29, 11, 1, 13, 28, 6, 4, 23, 22, 5, 18, 25, 15, 9, 10]	1.6000000000016e-05	1.4999999999876223e-05
[13, 8, 10, 6, 12, 25, 24, 4, 3, 11, 27, 19, 15, 1, 22]	2.4999999999941735e-05	3.599999999992498e-05
[22, 1, 4, 26, 16, 8, 29, 20, 5, 27, 9, 6, 0, 7, 18]	3.799999999998249e-05	1.399999999995849e-05
[12, 19, 6, 5, 22, 3, 18, 29, 2, 20, 0, 7, 23, 16, 13]	3.2000000000032e-05	1.6000000000016e-05
[29, 26, 16, 2, 17, 22, 20, 11, 25, 9, 15, 13, 27, 12, 24]	1.6000000000016e-05	1.399999999995849e-05
[2, 1, 7, 3, 17, 12, 16, 0, 4, 18, 19, 13, 9, 15, 21]	1.399999999995849e-05	1.8999999999991246e-05
[18, 25, 27, 6, 17, 23, 22, 26, 10, 7, 5, 11, 8, 20, 9]	8.000000000008e-06	1.1999999999900979e-05
[5, 2, 12, 6, 4, 22, 26, 1, 21, 14, 23, 10, 13, 11, 8]	1.0000000000065512e-05	1.3000000000040757e-05
[0, 12, 2, 24, 4, 22, 21, 5, 14, 6, 11, 3, 16, 10, 15]	1.999999999990898e-05	8.000000000008e-06
[12, 23, 20, 6, 13, 25, 28, 19, 8, 1, 18, 2, 21, 16, 24]	1.3000000000040757e-05	1.3000000000040757e-05
[4, 22, 19, 25, 7, 9, 23, 16, 27, 20, 21, 18, 1, 0, 12]	1.7999999999851468e-05	1.3000000000040757e-05
[14, 5, 2, 21, 20, 7, 0, 19, 22, 27, 9, 8, 4, 16, 3]	1.6999999999933735e-05	1.2000000000123023e-05
[7, 15, 25, 4, 20, 12, 9, 0, 21, 2, 8, 24, 10, 6, 23]	1.0999999999983245e-05	2.1000000000048757e-05
[21, 26, 12, 22, 29, 0, 25, 13, 14, 27, 8, 5, 16, 3, 28]	1.5000000000098268e-05	1.4000000000180535e-05
[12, 4, 29, 3, 7, 26, 8, 11, 5, 13, 21, 2, 15, 14, 10]	1.6000000000016e-05	1.399999999995849e-05
[20, 4, 19, 24, 22, 25, 15, 18, 23, 3, 16, 6, 8, 10, 27]	8.999999999925734e-06	1.0999999999983245e-05
[8, 26, 17, 0, 29, 2, 28, 21, 4, 9, 19, 13, 6, 11, 10]	1.0000000000065512e-05	1.8999999999991246e-05
[25, 6, 16, 27, 29, 21, 14, 7, 0, 8, 23, 1, 24, 10, 4]	1.6000000000016e-05	1.0000000000065512e-05
[0, 13, 14, 18, 26, 27, 20, 7, 5, 3, 15, 23, 17, 21, 16]	8.999999999925734e-06	1.0999999999983245e-05
[9, 23, 25, 1, 10, 16, 18, 19, 28, 22, 2, 5, 26, 20, 15]	7.000000000090267e-06	1.0000000000065512e-05
[24, 12, 27, 11, 4, 10, 22, 16, 6, 8, 3, 29, 21, 28, 1]	8.999999999925734e-06	1.4999999999876223e-05
[5, 7, 17, 21, 9, 18, 25, 29, 23, 13, 19, 28, 1, 10, 0]	1.700000000015578e-05	1.8000000000073513e-05
[9, 12, 15, 5, 25, 0, 17, 7, 19, 3, 20, 11, 13, 6, 16]	2.9000000000056758e-05	1.1999999999900979e-05
[4, 17, 23, 18, 27, 11, 22, 10, 2, 1, 15, 25, 16, 13, 14]	1.3000000000040757e-05	2.2999999999884224e-05
[9, 29, 25, 10, 11, 8, 4, 15, 20, 0, 13, 5, 18, 6, 27]	5.3999999999998494e-05	2.6999999999999247e-05
[21, 28, 26, 14, 17, 19, 12, 27, 22, 16, 24, 8, 4, 7, 5]	1.8999999999991246e-05	1.999999999990898e-05
[18, 8, 13, 14, 20, 24, 3, 23, 12, 29, 19, 15, 4, 1, 7]	1.7999999999851468e-05	1.0999999999983245e-05
[28, 24, 17, 7, 27, 14, 3, 5, 26, 0, 10, 4, 20, 23, 21]	1.0000000000065512e-05	1.6999999999933735e-05
[23, 4, 25, 20, 26, 17, 24, 5, 14, 10, 9, 12, 7, 18, 3]	2.2999999999884224e-05	1.3000000000040757e-05
