T_insertion	T_quick	T_merge	T_heap	T_combination
3.4999999911633495e-05	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	2.999999992425728e-06	9.999999974752427e-07
3.999999989900971e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	2.000000108637323e-06
5.999999984851456e-06	1.9999999949504854e-06	2.999999992425728e-06	1.9999999949504854e-06	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	2.000000108637323e-06
5.999999984851456e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	2.999999992425728e-06
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06
1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07
1.9999999949504854e-06	1.9999999949504854e-06	1.9999999949504854e-06	1.9999999949504854e-06	2.999999992425728e-06
7.000000096013537e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	2.999999992425728e-06
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07
