	T_insertion	T_quick	T_merge	T_heap
30	9.999999999843467e-06	8.000000000008e-06	9.999999999843467e-06	1.1999999999900979e-05
31	1.0000000000065512e-05	8.000000000008e-06	1.2000000000123023e-05	1.6000000000016e-05
32	8.999999999925734e-06	8.000000000008e-06	8.999999999925734e-06	1.0000000000065512e-05
33	1.100000000020529e-05	8.000000000008e-06	1.0999999999983245e-05	1.2000000000123023e-05
34	1.0000000000065512e-05	8.000000000008e-06	1.0000000000065512e-05	1.1999999999900979e-05
35	1.100000000020529e-05	1.6999999999933735e-05	1.1999999999900979e-05	1.2000000000123023e-05
36	1.1999999999900979e-05	1.5000000000098268e-05	1.0999999999983245e-05	1.3000000000040757e-05
37	1.100000000020529e-05	9.999999999843467e-06	1.0999999999983245e-05	1.2000000000123023e-05
38	1.0999999999983245e-05	9.999999999843467e-06	1.0000000000065512e-05	1.3000000000040757e-05
39	1.0000000000065512e-05	8.999999999925734e-06	1.2000000000123023e-05	1.0999999999983245e-05
40	1.0999999999983245e-05	8.000000000008e-06	8.999999999925734e-06	1.1999999999900979e-05
41	9.999999999843467e-06	9.000000000147779e-06	8.999999999925734e-06	1.1999999999900979e-05
42	1.399999999995849e-05	9.000000000147779e-06	8.999999999925734e-06	9.999999999843467e-06
43	8.999999999925734e-06	9.000000000147779e-06	1.0999999999983245e-05	1.0999999999983245e-05
44	1.3000000000040757e-05	1.0000000000065512e-05	1.0000000000065512e-05	1.3000000000040757e-05
45	1.1999999999900979e-05	9.000000000147779e-06	9.000000000147779e-06	1.0000000000065512e-05
46	1.0000000000065512e-05	8.999999999925734e-06	9.999999999843467e-06	1.0999999999983245e-05
47	1.0999999999983245e-05	9.999999999843467e-06	1.6999999999933735e-05	1.399999999995849e-05
48	1.0999999999983245e-05	8.000000000008e-06	1.0000000000065512e-05	4.599999999999049e-05
49	3.500000000000725e-05	1.8000000000073513e-05	2.1000000000048757e-05	2.4999999999941735e-05
50	2.2999999999884224e-05	2.8999999999834714e-05	1.6000000000016e-05	1.5000000000098268e-05
51	1.8999999999991246e-05	1.6999999999933735e-05	1.0999999999983245e-05	3.799999999998249e-05
52	1.5000000000098268e-05	1.5999999999793957e-05	1.3000000000040757e-05	2.199999999996649e-05
53	1.8999999999991246e-05	1.6000000000016e-05	1.3000000000040757e-05	2.2000000000188535e-05
54	1.8999999999991246e-05	1.6000000000016e-05	1.8999999999991246e-05	1.1999999999900979e-05
55	1.999999999990898e-05	3.599999999992498e-05	1.6000000000016e-05	2.300000000010627e-05
56	2.1000000000048757e-05	2.199999999996649e-05	1.4999999999876223e-05	1.6000000000016e-05
57	1.8000000000073513e-05	1.4999999999876223e-05	1.5000000000098268e-05	1.399999999995849e-05
58	1.8999999999991246e-05	1.3000000000040757e-05	1.1999999999900979e-05	2.2999999999884224e-05
59	2.2999999999884224e-05	1.0999999999983245e-05	1.0999999999983245e-05	2.4999999999941735e-05
60	1.999999999990898e-05	1.5000000000098268e-05	1.8999999999991246e-05	1.8000000000073513e-05
61	1.8999999999991246e-05	1.399999999995849e-05	1.8999999999991246e-05	2.300000000010627e-05
62	1.6000000000016e-05	2.0999999999826713e-05	1.4999999999876223e-05	1.6000000000016e-05
63	1.6999999999933735e-05	1.6000000000016e-05	1.2000000000123023e-05	4.700000000013027e-05
64	2.799999999991698e-05	2.199999999996649e-05	3.599999999992498e-05	2.8000000000139025e-05
65	4.199999999987547e-05	1.1999999999900979e-05	2.2000000000188535e-05	2.199999999996649e-05
66	1.399999999995849e-05	1.6999999999933735e-05	1.399999999995849e-05	1.1999999999900979e-05
67	1.0999999999983245e-05	8.000000000008e-06	1.900000000021329e-05	1.700000000015578e-05
68	4.8000000000048004e-05	1.8000000000073513e-05	1.0999999999983245e-05	1.3000000000040757e-05
69	1.7999999999851468e-05	9.000000000147779e-06	1.5000000000098268e-05	1.2999999999818712e-05
70	1.3000000000040757e-05	1.0000000000065512e-05	1.1999999999900979e-05	1.3000000000040757e-05
71	3.4000000000089514e-05	4.899999999996574e-05	4.700000000013027e-05	1.999999999990898e-05
72	1.8000000000073513e-05	1.6000000000016e-05	1.8000000000073513e-05	1.4000000000180535e-05
73	1.6000000000016e-05	1.5000000000098268e-05	1.6000000000016e-05	1.6999999999933735e-05
74	1.0000000000065512e-05	8.999999999925734e-06	8.000000000008e-06	2.0999999999826713e-05
75	2.0000000000131024e-05	2.599999999985947e-05	2.999999999997449e-05	1.7999999999851468e-05
76	1.3000000000040757e-05	1.2999999999818712e-05	1.399999999995849e-05	1.399999999995849e-05
77	1.6999999999933735e-05	8.000000000008e-06	8.000000000008e-06	1.6000000000016e-05
78	1.999999999990898e-05	9.000000000147779e-06	1.0999999999983245e-05	1.5999999999793957e-05
79	2.1000000000048757e-05	1.0999999999983245e-05	1.2000000000123023e-05	1.4000000000180535e-05
80	1.5000000000098268e-05	2.0000000000131024e-05	1.8999999999991246e-05	1.0000000000065512e-05
81	1.3000000000040757e-05	1.8000000000073513e-05	1.2999999999818712e-05	1.4999999999876223e-05
82	1.2000000000123023e-05	8.999999999925734e-06	1.3000000000040757e-05	1.3000000000040757e-05
83	2.300000000010627e-05	1.700000000015578e-05	1.999999999990898e-05	2.4999999999941735e-05
84	5.699999999997374e-05	1.4999999999876223e-05	3.0999999999892225e-05	5.799999999989147e-05
85	2.6000000000081513e-05	2.1000000000048757e-05	3.2999999999949736e-05	6.69999999998172e-05
86	2.199999999996649e-05	1.8999999999991246e-05	2.4000000000024002e-05	1.6000000000016e-05
87	1.6999999999933735e-05	1.6000000000016e-05	1.5999999999793957e-05	2.6999999999999247e-05
88	2.2999999999884224e-05	4.100000000017978e-05	2.6000000000081513e-05	2.599999999985947e-05
89	1.4999999999876223e-05	9.000000000147779e-06	1.2000000000123023e-05	1.1999999999900979e-05
90	1.999999999990898e-05	1.4999999999876223e-05	1.1999999999900979e-05	1.2000000000123023e-05
91	1.7999999999851468e-05	1.4999999999876223e-05	1.8999999999991246e-05	1.2000000000123023e-05
92	1.8000000000073513e-05	1.3000000000040757e-05	1.6999999999933735e-05	1.3000000000040757e-05
93	1.999999999990898e-05	1.0999999999983245e-05	1.3000000000040757e-05	2.4000000000024002e-05
94	1.8999999999991246e-05	1.100000000020529e-05	1.0999999999983245e-05	2.1000000000048757e-05
95	2.1000000000048757e-05	1.5000000000098268e-05	1.8000000000073513e-05	1.1999999999900979e-05
96	2.1000000000048757e-05	1.8000000000073513e-05	1.3000000000040757e-05	1.999999999990898e-05
97	1.999999999990898e-05	1.0000000000065512e-05	1.0999999999983245e-05	1.0999999999983245e-05
98	1.8000000000073513e-05	8.000000000008e-06	1.0000000000065512e-05	1.2000000000123023e-05
99	1.8999999999991246e-05	1.3000000000040757e-05	1.1999999999900979e-05	1.2000000000123023e-05
