T_insertion	T_quick	T_merge	T_heap
1.1000000085914508e-05	9.999999747378752e-06	7.999999979801942e-06	7.999999979801942e-06
8.999999863590347e-06	6.000000212225132e-06	5.999999757477781e-06	9.000000318337698e-06
8.999999863590347e-06	9.99999883788405e-07	7.999999979801942e-06	7.000000096013537e-06
9.999999747378752e-06	7.000000096013537e-06	1.0000000202126103e-05	9.000000318337698e-06
8.999999863590347e-06	7.999999979801942e-06	7.000000096013537e-06	5.800000008093775e-05
7.999999979801942e-06	9.99999883788405e-07	8.999999863590347e-06	7.999999979801942e-06
1.6000000414351234e-05	4.000000444648322e-06	7.999999979801942e-06	5.999999757477781e-06
8.999999863590347e-06	5.000000328436727e-06	3.000000106112566e-06	7.000000096013537e-06
8.999999863590347e-06	6.000000212225132e-06	3.000000106112566e-06	7.000000096013537e-06
9.000000318337698e-06	4.999999873689376e-06	7.000000096013537e-06	9.999999747378752e-06
9.999999747378752e-06	9.99999883788405e-07	7.999999979801942e-06	7.999999979801942e-06
7.999999979801942e-06	2.000000222324161e-06	7.000000096013537e-06	8.000000434549293e-06
1.0000000202126103e-05	7.000000096013537e-06	1.8000000181928044e-05	1.0000000202126103e-05
1.1000000085914508e-05	7.000000096013537e-06	9.000000318337698e-06	7.999999979801942e-06
8.999999863590347e-06	5.999999757477781e-06	4.999999873689376e-06	6.999999641266186e-06
8.999999863590347e-06	2.000000222324161e-06	7.999999979801942e-06	1.0000000202126103e-05
1.3999999737279722e-05	7.999999979801942e-06	4.3000000005122274e-05	7.999999979801942e-06
1.0000000202126103e-05	3.000000106112566e-06	5.000000328436727e-06	8.999999863590347e-06
1.0000000202126103e-05	7.000000096013537e-06	1.99999976757681e-06	1.4000000192027073e-05
8.999999863590347e-06	2.999999651365215e-06	8.999999863590347e-06	8.999999863590347e-06
8.999999863590347e-06	5.999999757477781e-06	7.000000096013537e-06	9.999999747378752e-06
9.000000318337698e-06	3.000000106112566e-06	6.000000212225132e-06	7.999999979801942e-06
7.999999979801942e-06	3.000000106112566e-06	5.999999757477781e-06	7.999999979801942e-06
7.999999979801942e-06	3.999999989900971e-06	7.999999979801942e-06	7.999999979801942e-06
2.100000028804061e-05	7.999999979801942e-06	3.999999989900971e-06	7.000000096013537e-06
9.000000318337698e-06	4.099999978279811e-05	7.999999979801942e-06	3.500000002532033e-05
1.1000000085914508e-05	8.999999863590347e-06	7.999999979801942e-06	1.2999999853491317e-05
7.999999979801942e-06	5.000000328436727e-06	2.000000222324161e-06	7.000000096013537e-06
9.000000318337698e-06	1.0000000202126103e-05	7.000000096013537e-06	2.3999999939405825e-05
9.999999747378752e-06	9.99999883788405e-07	8.999999863590347e-06	1.0000000202126103e-05
5.999999757477781e-06	2.000000222324161e-06	1.0000003385357559e-06	7.999999979801942e-06
8.999999863590347e-06	2.000000222324161e-06	3.000000106112566e-06	1.0000000202126103e-05
1.1000000085914508e-05	1.99999976757681e-06	1.99999976757681e-06	7.999999979801942e-06
1.1000000085914508e-05	6.000000212225132e-06	4.999999873689376e-06	7.999999979801942e-06
1.5000000075815478e-05	5.000000328436727e-06	7.999999979801942e-06	6.000000212225132e-06
1.1000000085914508e-05	6.000000212225132e-06	3.999999989900971e-06	8.999999863590347e-06
1.0000000202126103e-05	7.999999979801942e-06	7.000000096013537e-06	1.0000000202126103e-05
7.999999979801942e-06	4.999999873689376e-06	6.000000212225132e-06	7.999999979801942e-06
1.1000000085914508e-05	9.99999883788405e-07	7.000000096013537e-06	7.000000096013537e-06
1.8000000181928044e-05	5.000000328436727e-06	1.0000003385357559e-06	7.999999979801942e-06
8.999999863590347e-06	6.000000212225132e-06	7.999999979801942e-06	8.000000434549293e-06
8.999999863590347e-06	4.999999873689376e-06	3.000000106112566e-06	7.000000096013537e-06
1.4999999621068127e-05	7.000000096013537e-06	2.999999651365215e-06	9.000000318337698e-06
1.0000000202126103e-05	1.99999976757681e-06	2.000000222324161e-06	7.999999979801942e-06
1.1000000085914508e-05	5.999999757477781e-06	7.999999979801942e-06	9.000000318337698e-06
1.0000000202126103e-05	4.999999873689376e-06	5.000000328436727e-06	4.999999873689376e-06
7.000000096013537e-06	3.999999989900971e-06	3.000000106112566e-06	3.999999989900971e-06
1.0000000202126103e-05	6.000000212225132e-06	4.999999873689376e-06	5.999999757477781e-06
1.0000000202126103e-05	7.999999979801942e-06	6.999999641266186e-06	7.999999979801942e-06
3.999999989900971e-06	9.99999883788405e-07	3.999999989900971e-06	6.000000212225132e-06
3.90000000152213e-05	1.0000003385357559e-06	2.000000222324161e-06	6.000000212225132e-06
1.0999999631167157e-05	1.99999976757681e-06	5.000000328436727e-06	6.000000212225132e-06
1.1000000085914508e-05	5.999999757477781e-06	1.7999999727180693e-05	8.999999863590347e-06
3.999999989900971e-05	1.0000003385357559e-06	3.999999989900971e-06	3.999999989900971e-06
1.0000000202126103e-05	4.999999873689376e-06	2.000000222324161e-06	6.999999641266186e-06
1.0000000202126103e-05	8.999999863590347e-06	4.999999873689376e-06	9.999999747378752e-06
8.999999863590347e-06	1.0000003385357559e-06	9.99999883788405e-07	4.999999873689376e-06
1.0999999631167157e-05	2.000000222324161e-06	4.999999873689376e-06	7.000000096013537e-06
8.999999863590347e-06	9.99999883788405e-07	7.999999979801942e-06	8.000000434549293e-06
9.000000318337698e-06	1.99999976757681e-06	5.000000328436727e-06	6.000000212225132e-06
9.000000318337698e-06	4.999999873689376e-06	1.99999976757681e-06	4.999999873689376e-06
7.999999979801942e-06	3.999999989900971e-06	1.99999976757681e-06	7.999999979801942e-06
1.1000000085914508e-05	5.000000328436727e-06	2.000000222324161e-06	2.999999651365215e-06
9.999999747378752e-06	3.000000106112566e-06	2.000000222324161e-06	7.999999979801942e-06
8.999999863590347e-06	2.000000222324161e-06	2.000000222324161e-06	3.0000000151630957e-05
4.999999873689376e-06	1.99999976757681e-06	3.999999989900971e-06	1.2999999853491317e-05
7.999999979801942e-06	7.000000096013537e-06	1.99999976757681e-06	4.200000012133387e-05
1.0000000202126103e-05	9.99999883788405e-07	7.000000096013537e-06	7.999999979801942e-06
9.000000318337698e-06	4.999999873689376e-06	8.999999863590347e-06	8.999999863590347e-06
7.999999979801942e-06	5.000000328436727e-06	6.000000212225132e-06	6.999999641266186e-06
8.999999863590347e-06	4.999999873689376e-06	3.000000106112566e-06	8.999999863590347e-06
9.999999747378752e-06	8.999999863590347e-06	7.999999979801942e-06	1.8999999610969098e-05
9.000000318337698e-06	1.99999976757681e-06	1.0000000202126103e-05	7.999999979801942e-06
1.0000000202126103e-05	6.000000212225132e-06	9.99999883788405e-07	7.999999979801942e-06
1.1000000085914508e-05	2.999999651365215e-06	9.99999883788405e-07	7.999999979801942e-06
8.999999863590347e-06	6.000000212225132e-06	7.999999979801942e-06	7.000000096013537e-06
1.5000000075815478e-05	7.999999979801942e-06	7.999999979801942e-06	8.999999863590347e-06
7.999999979801942e-06	7.999999979801942e-06	7.999999979801942e-06	8.999999863590347e-06
1.0000000202126103e-05	7.000000096013537e-06	8.999999863590347e-06	7.000000096013537e-06
7.999999979801942e-06	2.000000222324161e-06	3.000000106112566e-06	7.999999979801942e-06
7.999999979801942e-06	1.0000000202126103e-05	7.999999979801942e-06	9.000000318337698e-06
1.5999999959603883e-05	7.000000096013537e-06	2.9999999696883606e-05	7.000000096013537e-06
4.999999873689376e-06	4.999999873689376e-06	4.999999873689376e-06	1.1000000085914508e-05
8.999999863590347e-06	2.000000222324161e-06	9.99999883788405e-07	6.999999641266186e-06
7.999999979801942e-06	1.0000003385357559e-06	4.999999873689376e-06	7.999999979801942e-06
7.999999979801942e-06	6.000000212225132e-06	5.000000328436727e-06	7.999999979801942e-06
8.999999863590347e-06	3.999999989900971e-06	7.999999979801942e-06	1.0000000202126103e-05
7.999999979801942e-06	1.99999976757681e-06	1.99999976757681e-06	5.999999757477781e-06
3.599999990910874e-05	2.000000222324161e-06	5.000000328436727e-06	7.999999979801942e-06
8.999999863590347e-06	7.000000096013537e-06	3.000000106112566e-06	7.999999979801942e-06
1.0000000202126103e-05	7.999999979801942e-06	6.999999641266186e-06	7.999999979801942e-06
1.5999999959603883e-05	7.000000096013537e-06	2.000000222324161e-06	8.999999863590347e-06
7.999999979801942e-06	9.99999883788405e-07	7.999999979801942e-06	7.999999979801942e-06
8.999999863590347e-06	7.000000096013537e-06	2.999999651365215e-06	6.999999641266186e-06
5.999999757477781e-06	6.000000212225132e-06	5.000000328436727e-06	7.999999979801942e-06
9.999999747378752e-06	3.999999989900971e-06	7.000000096013537e-06	8.999999863590347e-06
1.0999999631167157e-05	9.99999883788405e-07	7.999999979801942e-06	3.600000036385609e-05
7.999999979801942e-06	5.999999757477781e-06	1.99999976757681e-06	7.999999979801942e-06
1.1000000085914508e-05	7.999999979801942e-06	7.000000096013537e-06	7.999999979801942e-06
7.999999979801942e-06	9.99999883788405e-07	9.99999883788405e-07	7.000000096013537e-06
