	A	len	T_insertion	T_quick	T_merge	T_heap
43	[7, 12, 18, 8, 3, 4, 10, 1, 0, 2]	10	1.000000000139778e-06	9.999999992515995e-07	1.000000000139778e-06	0.0
44	[3, 12, 9, 1, 10, 13, 6, 15, 7, 19]	10	0.0	0.0	1.000000000139778e-06	1.9999999993913775e-06
45	[5, 8, 18, 11, 1, 6, 3, 15, 0, 10]	10	1.9999999993913775e-06	1.000000000139778e-06	0.0	0.0
46	[1, 7, 18, 14, 13, 15, 11, 16, 5, 10]	10	1.000000000139778e-06	1.9999999993913775e-06	1.000000000139778e-06	0.0
47	[17, 9, 0, 14, 12, 7, 19, 5, 2, 10]	10	0.0	9.999999992515995e-07	1.000000000139778e-06	2.000000000279556e-06
48	[2, 0, 17, 12, 9, 15, 4, 19, 5, 14]	10	2.000000000279556e-06	1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06
49	[18, 8, 15, 13, 11, 4, 17, 3, 14, 10]	10	0.0	0.0	0.0	1.000000000139778e-06
50	[11, 8, 12, 6, 2, 7, 17, 9, 19, 4]	10	1.000000000139778e-06	9.999999992515995e-07	2.000000000279556e-06	1.000000000139778e-06
51	[16, 19, 2, 10, 12, 5, 13, 6, 17, 4]	10	2.000000000279556e-06	1.000000000139778e-06	9.999999992515995e-07	1.000000000139778e-06
52	[17, 2, 1, 8, 6, 4, 16, 19, 0, 11]	10	1.000000000139778e-06	0.0	0.0	0.0
53	[0, 7, 4, 12, 5, 14, 17, 13, 19, 16]	10	1.000000000139778e-06	9.999999992515995e-07	1.000000000139778e-06	1.000000000139778e-06
54	[0, 3, 19, 15, 16, 4, 18, 2, 8, 5]	10	5.00000000069889e-06	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
55	[11, 16, 10, 2, 19, 6, 8, 9, 4, 17]	10	1.000000000139778e-06	0.0	2.000000000279556e-06	2.000000000279556e-06
56	[1, 16, 5, 2, 3, 15, 0, 4, 6, 19]	10	2.000000000279556e-06	0.0	1.000000000139778e-06	0.0
57	[1, 0, 6, 3, 15, 16, 14, 10, 2, 9]	10	2.000000000279556e-06	0.0	1.000000000139778e-06	1.000000000139778e-06
58	[5, 0, 11, 17, 12, 3, 15, 2, 19, 18]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	0.0
59	[7, 16, 19, 11, 10, 6, 17, 12, 0, 3]	10	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06	2.000000000279556e-06
60	[12, 3, 17, 0, 6, 9, 13, 8, 14, 2]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
61	[8, 17, 5, 12, 10, 13, 14, 19, 9, 7]	10	1.000000000139778e-06	1.9999999993913775e-06	2.000000000279556e-06	0.0
