T_insertion	T_quick	T_merge	T_heap	T_combination
2.6999999999333113e-05	4.000000000559112e-06	7.000000000090267e-06	5.000000000165983e-05	4.000000000559112e-06
5.000000001587068e-06	7.000000003642981e-06	2.9999999995311555e-06	2.9999999995311555e-06	3.000000006636583e-06
1.00000000458067e-06	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	2.0000000020559128e-06
1.9999999949504854e-06	2.0000000020559128e-06	9.999999974752427e-07	1.00000000458067e-06	1.00000000458067e-06
5.000000001587068e-06	9.999999974752427e-07	4.0000000041118255e-06	2.0000000020559128e-06	1.9999999949504854e-06
3.999999997006398e-06	2.0000000020559128e-06	9.999999974752427e-07	2.0000000020559128e-06	9.999999974752427e-07
5.999999999062311e-06	2.9999999995311555e-06	1.9999999949504854e-06	2.9999999995311555e-06	3.999999997006398e-06
2.0000000020559128e-06	1.9999999949504854e-06	2.0000000020559128e-06	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	2.9999999995311555e-06	2.0000000020559128e-06
9.999999974752427e-07	1.00000000458067e-06	1.00000000458067e-06	1.9999999949504854e-06	9.999999974752427e-07
4.0000000041118255e-06	9.999999974752427e-07	2.0000000020559128e-06	9.999999974752427e-07	1.00000000458067e-06
5.000000001587068e-06	9.999999974752427e-07	3.999999997006398e-06	5.000000001587068e-06	4.0000000041118255e-06
9.999999974752427e-07	1.00000000458067e-06	1.00000000458067e-06	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	1.00000000458067e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
5.999999999062311e-06	2.0000000020559128e-06	2.0000000020559128e-06	4.999999994481641e-06	2.9999999995311555e-06
5.000000001587068e-06	9.999999974752427e-07	4.0000000041118255e-06	3.999999997006398e-06	3.999999997006398e-06
5.000000001587068e-06	3.999999997006398e-06	3.999999997006398e-06	2.9999999995311555e-06	2.9999999995311555e-06
9.999999974752427e-07	1.00000000458067e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	2.0000000020559128e-06	9.999999974752427e-07	2.0000000020559128e-06
4.999999994481641e-06	2.0000000020559128e-06	1.00000000458067e-06	2.0000000020559128e-06	2.0000000020559128e-06
4.999999994481641e-06	2.0000000020559128e-06	1.9999999949504854e-06	4.0000000041118255e-06	2.0000000020559128e-06
3.700000000605996e-05	4.0000000041118255e-06	2.9999999995311555e-06	4.0000000041118255e-06	7.000000003642981e-06
9.999999974752427e-07	9.999999974752427e-07	2.0000000020559128e-06	2.0000000020559128e-06	9.999999974752427e-07
2.0000000020559128e-06	9.999999974752427e-07	9.999999974752427e-07	5.999999999062311e-06	2.9999999995311555e-06
1.4000000000180535e-05	1.9999999949504854e-06	2.9999999995311555e-06	3.999999997006398e-06	4.0000000041118255e-06
5.999999999062311e-06	3.999999997006398e-06	5.000000001587068e-06	4.999999994481641e-06	2.9999999995311555e-06
6.999999996537554e-06	3.999999997006398e-06	5.999999999062311e-06	3.999999997006398e-06	4.0000000041118255e-06
2.0000000020559128e-06	9.999999974752427e-07	2.0000000020559128e-06	5.000000001587068e-06	3.000000006636583e-06
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
5.000000001587068e-06	8.000000001118224e-06	9.999999974752427e-07	2.9999999995311555e-06	1.00000000458067e-06
5.999999999062311e-06	2.9999999995311555e-06	9.999999974752427e-07	5.000000001587068e-06	2.9999999995311555e-06
