T_insertion	T_quick	T_merge	T_heap
4.63680007669609e-06	4.577799882099498e-06	4.506799996306654e-06	6.000000212225132e-06
4.534199979389086e-06	4.4833999709226194e-06	4.52779986517271e-06	9.999999747378752e-06
5.243199848337099e-06	4.754600013257004e-06	4.571000135911163e-06	7.000000096013537e-06
4.501399962464347e-06	4.458399962459225e-06	4.536000051302835e-06	7.000000096013537e-06
4.585800161294173e-06	4.429399996297434e-06	4.607399932865519e-06	7.000000096013537e-06
4.517799970926717e-06	4.595399877871386e-06	4.52839994977694e-06	5.000000328436727e-06
4.782799987879116e-06	4.616799924406223e-06	4.6136001401464455e-06	6.000000212225132e-06
4.565400013234467e-06	4.366599932836835e-06	5.996999971102923e-06	6.000000212225132e-06
4.7621999328839594e-06	5.074000000604428e-06	1.6853200031619052e-05	7.000000096013537e-06
4.477800030144863e-06	4.589000127452891e-06	4.486199941311497e-06	3.199999991920777e-05
5.462400076794438e-06	4.8081999921123495e-06	4.660400009015575e-06	5.999999757477781e-06
4.554600127448793e-06	5.4430000091088e-06	4.474399975151755e-06	7.000000096013537e-06
4.999600059818477e-06	4.701000034401659e-06	4.439400072442368e-06	6.000000212225132e-06
4.503799937083386e-06	4.735200127470307e-06	4.477199945540633e-06	7.000000096013537e-06
4.8019999667303635e-06	4.609800089383498e-06	4.781999996339436e-06	7.000000096013537e-06
4.523999996308703e-06	4.391600123199169e-06	4.49780000053579e-06	7.000000096013537e-06
4.635400000552181e-06	4.580200038617477e-06	4.742599958262872e-06	6.000000212225132e-06
4.455999987840187e-06	4.508200072450564e-06	4.445400008989964e-06	7.999999979801942e-06
4.77659996249713e-06	4.578199877869338e-06	4.893999903288204e-06	7.000000096013537e-06
4.5562001105281524e-06	4.833999992115423e-06	4.520400034380146e-06	1.5000000075815478e-05
4.974600051355082e-06	1.1935000111407135e-05	4.539200017461553e-06	5.999999757477781e-06
4.483199882088229e-06	4.473799890547525e-06	4.465399979380891e-06	7.999999979801942e-06
5.037000119045843e-06	4.519799949775915e-06	4.493199958233162e-06	7.000000096013537e-06
1.986339993891306e-05	4.775800152856391e-06	4.5681999836233445e-06	7.000000096013537e-06
4.566600000543985e-06	4.51399992016377e-06	4.462000106286723e-06	6.000000212225132e-06
5.476799924508669e-06	4.666399945563171e-06	4.489799903240055e-06	5.999999757477781e-06
4.68480011477368e-06	5.7994000599137506e-06	4.490399987844285e-06	6.999999641266186e-06
4.586999966704752e-06	8.115600030578207e-06	4.666199856728781e-06	4.999999873689376e-06
4.8317999244318345e-06	4.5353999666986056e-06	4.7353998525068166e-06	6.999999641266186e-06
6.081399988033809e-06	4.527199962467421e-06	4.509199970925692e-06	7.000000096013537e-06
4.701799844042398e-06	4.645199987862725e-06	4.537600034382194e-06	6.000000212225132e-06
4.7044000893947665e-06	4.349399932834785e-06	4.759399962495081e-06	3.999999989900971e-06
4.788799924426712e-06	4.5400000090012325e-06	4.42000000475673e-06	7.999999979801942e-06
4.620399886334781e-06	4.566999996313825e-06	4.418200114741922e-06	7.000000096013537e-06
4.831399928661995e-06	8.206399979826528e-06	4.749999970954377e-06	6.999999641266186e-06
4.48179998784326e-06	4.538000030152034e-06	4.681000064010732e-06	6.000000212225132e-06
4.453399924386758e-06	4.4882001020596364e-06	4.612799966707826e-06	7.999999979801942e-06
4.517799970926717e-06	7.181599903560709e-06	4.656400051317178e-06	1.5000000075815478e-05
4.402000013215002e-06	4.5576000047731215e-06	4.4776001232094135e-06	5.999999757477781e-06
4.616600017470774e-06	1.0512600056244992e-05	4.816399996343534e-06	7.000000096013537e-06
4.57559999631485e-06	4.5627999497810375e-06	4.569600059767254e-06	5.999999757477781e-06
4.462399920157622e-06	4.4776001232094135e-06	4.508799975155853e-06	5.999999757477781e-06
4.479600102058612e-06	4.513599924393929e-06	4.51320011052303e-06	6.999999641266186e-06
4.660999911720864e-06	4.638199970941059e-06	5.762000000686385e-06	6.000000212225132e-06
4.460200034372974e-06	4.564199844026007e-06	4.617800004780292e-06	7.000000096013537e-06
4.455599992070347e-06	4.463200093596243e-06	4.692199945566245e-06	6.999999641266186e-06
4.561000059766229e-06	4.517199886322487e-06	4.531000013230369e-06	6.000000212225132e-06
4.504600110522006e-06	4.5386001147562635e-06	4.542399983620271e-06	5.999999757477781e-06
4.6532000851584595e-06	4.758999966725241e-06	4.715599970950279e-06	5.999999757477781e-06
4.470599924388807e-06	5.1332001021364705e-06	1.2987199988856446e-05	7.999999979801942e-06
4.830000034417026e-06	4.703000013250858e-06	4.571600038616453e-06	5.999999757477781e-06
4.626800000551157e-06	4.560600063996389e-06	4.667000030167401e-06	7.000000096013537e-06
4.991200148651842e-06	4.529599937086459e-06	4.6592000217060555e-06	7.000000096013537e-06
4.483199882088229e-06	4.883800102106761e-06	4.698600059782621e-06	7.999999979801942e-06
4.508800157054793e-06	4.479800008994062e-06	4.748799983644858e-06	6.000000212225132e-06
4.542600072454661e-06	4.9473999752081e-06	4.5064000005368145e-06	5.999999757477781e-06
4.60560004285071e-06	5.887599945708643e-06	4.6025999836274424e-06	8.999999863590347e-06
4.6876000851625575e-06	4.607200025930069e-06	4.485799945541658e-06	7.000000096013537e-06
4.565400013234467e-06	4.582200017466676e-06	4.649999937100802e-06	5.000000328436727e-06
4.685600106313359e-06	4.5857999793952334e-06	4.704000093624927e-06	5.999999757477781e-06
4.627199996320997e-06	4.660600097849965e-06	5.094200059829746e-06	7.000000096013537e-06
4.54479995823931e-06	7.788400034769439e-06	1.491900002292823e-05	7.000000096013537e-06
4.700200042861979e-06	7.75480002630502e-06	4.545800038613379e-06	6.999999641266186e-06
9.750199933478142e-06	1.0741200094344095e-05	4.5169999793870375e-06	7.999999979801942e-06
4.489200000534765e-06	4.37380003859289e-06	6.871599907753989e-06	3.999999989900971e-06
1.0784199912450276e-05	4.423400059749838e-06	6.052400021872018e-06	7.000000096013537e-06
4.613800047081895e-06	4.387599983601831e-06	4.6315999497892335e-06	7.999999979801942e-06
4.463200093596243e-06	4.402599915920291e-06	4.612600059772376e-06	3.999999989900971e-06
4.520400034380146e-06	4.794000051333569e-06	4.5467999370885085e-06	6.000000212225132e-06
4.421599987836089e-06	8.935999903769699e-06	4.449600055522751e-06	6.999999641266186e-06
4.456200076674577e-06	4.571799945551902e-06	4.5004000639892185e-06	7.000000096013537e-06
4.694599920185283e-06	4.4321999666863124e-06	4.686600004788488e-06	5.999999757477781e-06
4.74620010209037e-06	4.458599869394675e-06	4.51320011052303e-06	8.999999863590347e-06
4.5982000301592055e-06	4.411800000525546e-06	4.549199911707547e-06	7.000000096013537e-06
4.599000021698885e-06	4.563799848256167e-06	1.1109600018244237e-05	7.000000096013537e-06
4.664399966713972e-06	4.373000047053211e-06	4.505799915932585e-06	6.999999641266186e-06
4.551199890556745e-06	4.531599915935658e-06	4.65199991595e-06	7.999999979801942e-06
4.764000004797709e-06	9.501000022282824e-06	4.548800097836647e-06	6.000000212225132e-06
4.500000068219379e-06	4.554000042844564e-06	4.515799992077518e-06	7.000000096013537e-06
4.645599983632565e-06	4.434800030139741e-06	4.489400089369155e-06	5.999999757477781e-06
5.020200114813634e-06	4.706799882114865e-06	4.526799966697581e-06	6.000000212225132e-06
7.5885998739977366e-06	4.505200013227295e-06	4.733399873657618e-06	6.000000212225132e-06
4.578600055538118e-06	4.505400102061685e-06	4.625400106306188e-06	1.2999999853491317e-05
4.709399945568293e-06	4.539399924397003e-06	1.3418399976217189e-05	6.000000212225132e-06
5.082999996375292e-06	5.16440013598185e-06	7.133800136216451e-06	1.2999999853491317e-05
4.422600068210159e-06	4.945600085193291e-06	5.132600017532241e-06	1.5000000075815478e-05
4.60579994978616e-06	4.6020000809221525e-06	4.787800025951583e-06	7.000000096013537e-06
4.627599992090836e-06	4.640800034394487e-06	4.598399937094655e-06	4.4999999772699084e-05
4.669800000556279e-06	4.458200055523775e-06	4.4494001485873015e-06	7.000000096013537e-06
4.4267999328440055e-06	4.615999932866543e-06	4.609799907484557e-06	6.000000212225132e-06
4.641399937099777e-06	4.582799920171965e-06	4.442600038601086e-06	7.000000096013537e-06
4.436599920154549e-06	4.467799953999929e-06	4.454000008990988e-06	7.000000096013537e-06
4.644999899028335e-06	1.0827199912455398e-05	5.84760000492679e-06	6.000000212225132e-06
7.698999979766086e-06	4.5857999793952334e-06	4.425799852469936e-06	7.000000096013537e-06
4.597000042849686e-06	4.496600013226271e-06	4.489200000534765e-06	7.999999979801942e-06
4.8187999709625725e-06	4.3923999328399075e-06	4.510399958235212e-06	5.999999757477781e-06
4.592799996316899e-06	4.565199924400077e-06	4.4821999836131e-06	1.2000000424450263e-05
4.561400055536069e-06	4.444799924385734e-06	4.876000093645416e-06	7.000000096013537e-06
6.0202000895515084e-06	4.921599975205027e-06	4.504000025917776e-06	6.999999641266186e-06
4.4825999793829395e-06	4.4378000893630086e-06	4.472799992072396e-06	7.000000096013537e-06
